source_path,section,corpus_id,type,primary_workbook
web/www/horas/Ordinarium/Prima.txt,Martyrologium{anticipatur},shared-acf89cc4d2691c9d340a,martyrology,workbooks/by-season/eastertide.md
web/www/horas/Latin/Psalterium/Special/Major Special.txt,Antiphona repetita ad magnificat,shared-acfaab73c48672007ea4,antiphon,workbooks/core/core.md
web/www/horas/Ordinarium/Vespera.txt,Antiphona repetita ad magnificat,shared-acfaab73c48672007ea4,antiphon,workbooks/core/core.md
web/www/horas/Latin/Tempora,&lectio(1),shared-acfacc83f1197640a2fe,reading,workbooks/by-season/eastertide.md
web/www/horas/Ordinarium/Matutinum.txt,Lectio 1,shared-acfacc83f1197640a2fe,reading,workbooks/by-season/eastertide.md
web/www/horas/Latin/Psalterium/Common/Prayers.txt,Dominus_vobiscum,shared-acff4bb223c8978111fd,prayer,workbooks/by-season/eastertide.md
web/www/horas/Ordinarium/Minor.txt,Oratio{ex Proprio de Tempore},shared-acff4bb223c8978111fd,prayer,workbooks/by-season/eastertide.md
web/www/horas/Latin/Martyrologium,anticipated day from Divinum Officium Latin Martyrologium,shared-ad019b72827d578ee07a,martyrology,workbooks/by-season/time-after-pentecost.md
web/www/horas/Ordinarium/Prima.txt,Martyrologium{anticipatur},shared-ad019b72827d578ee07a,martyrology,workbooks/by-season/time-after-pentecost.md
web/www/horas/Latin/Psalterium/Special/Major Special.txt,Hymnus,shared-ad09bb4184d2fcce37fe,hymn,workbooks/by-season/christmastide.md
web/www/horas/Ordinarium/Laudes.txt,Hymnus,shared-ad09bb4184d2fcce37fe,hymn,workbooks/by-season/christmastide.md
web/www/horas/Latin/Psalterium/Special/Minor Special.txt,Capitulum,shared-ad14f0c7641f79fd0ef0,capitulum,workbooks/by-season/septuagesima.md
web/www/horas/Ordinarium/Minor.txt,Capitulum,shared-ad14f0c7641f79fd0ef0,capitulum,workbooks/by-season/septuagesima.md
web/www/horas/Latin/Psalterium/Psalmorum/Psalm10.txt,Psalm 10,shared-ad21402e2132d2412517,psalm,workbooks/by-season/time-after-pentecost.md
web/www/horas/Ordinarium/Matutinum.txt,Psalmus 10 [5],shared-ad21402e2132d2412517,psalm,workbooks/by-season/time-after-pentecost.md
web/www/horas/Latin/Tempora,&lectio(2),shared-ad2a44bcd6afcf17451b,reading,workbooks/by-season/time-after-pentecost.md
web/www/horas/Ordinarium/Matutinum.txt,Lectio 2,shared-ad2a44bcd6afcf17451b,reading,workbooks/by-season/time-after-pentecost.md
web/www/horas/Latin/Psalterium/Special/Major Special.txt,Antiphona,shared-ad2d6f20f866c4cd2be6,antiphon,workbooks/by-season/time-after-pentecost.md
web/www/horas/Ordinarium/Laudes.txt,Antiphona,shared-ad2d6f20f866c4cd2be6,antiphon,workbooks/by-season/time-after-pentecost.md
web/www/horas/Latin/Psalterium/Special/Matutinum Special.txt,Hymnus{ex Commune aut Festo},shared-ad2f0d7f3658d913994b,hymn,workbooks/by-type/hymn.md
web/www/horas/Ordinarium/Matutinum.txt,Hymnus{ex Commune aut Festo},shared-ad2f0d7f3658d913994b,hymn,workbooks/by-type/hymn.md
web/www/horas/Latin/Commune,&lectio(8),shared-ad3be1beb73306f8ac41,reading,workbooks/by-season/time-after-pentecost.md
web/www/horas/Latin/Sancti,&lectio(8),shared-ad3be1beb73306f8ac41,reading,workbooks/by-season/time-after-pentecost.md
web/www/horas/Latin/Tempora,&lectio(8),shared-ad3be1beb73306f8ac41,reading,workbooks/by-season/time-after-pentecost.md
web/www/horas/Ordinarium/Matutinum.txt,Lectio 8,shared-ad3be1beb73306f8ac41,reading,workbooks/by-season/time-after-pentecost.md
web/www/horas/Latin/Psalterium/Special/Minor Special.txt,Versus,shared-ad3c9d186d33f8e71dd1,versicle,workbooks/core/high-priority.md
web/www/horas/Ordinarium/Minor.txt,Versus,shared-ad3c9d186d33f8e71dd1,versicle,workbooks/core/high-priority.md
web/www/horas/Latin/Psalterium/Special/Matutinum Special.txt,Antiphona,shared-ad3f2a44be43ad756986,antiphon,workbooks/by-season/time-after-pentecost.md
web/www/horas/Ordinarium/Matutinum.txt,Antiphona,shared-ad3f2a44be43ad756986,antiphon,workbooks/by-season/time-after-pentecost.md
web/www/horas/Latin/Psalterium/Common/Prayers.txt,Dominus_vobiscum,shared-ad441189551a58039989,prayer,workbooks/by-season/eastertide.md
web/www/horas/Ordinarium/Minor.txt,Oratio{ex Proprio Sanctorum},shared-ad441189551a58039989,prayer,workbooks/by-season/eastertide.md
web/www/horas/Latin/Psalterium/Special/Matutinum Special.txt,Responsorium 4,shared-ad4451c904d42b1d8fca,matins-responsory,workbooks/by-season/time-after-pentecost.md
web/www/horas/Ordinarium/Matutinum.txt,Responsorium 4,shared-ad4451c904d42b1d8fca,matins-responsory,workbooks/by-season/time-after-pentecost.md
web/www/horas/Latin/Psalterium/Special/Matutinum Special.txt,Responsorium 2,shared-ad49154ff149c7ebd2f7,matins-responsory,workbooks/by-season/lent-passiontide.md
web/www/horas/Ordinarium/Matutinum.txt,Responsorium 2,shared-ad49154ff149c7ebd2f7,matins-responsory,workbooks/by-season/lent-passiontide.md
web/www/horas/Latin/Psalterium/Common/Prayers.txt,Dominus_vobiscum,shared-ad6d4074d50569c8ac5a,prayer,workbooks/by-season/advent.md
web/www/horas/Ordinarium/Minor.txt,Oratio{ex Proprio de Tempore},shared-ad6d4074d50569c8ac5a,prayer,workbooks/by-season/advent.md
web/www/horas/Latin/Psalterium/Special/Major Special.txt,Antiphona ad magnificat,shared-ad6e7aa59cc2743d487a,antiphon,workbooks/core/core.md
web/www/horas/Ordinarium/Vespera.txt,Antiphona ad magnificat,shared-ad6e7aa59cc2743d487a,antiphon,workbooks/core/core.md
